row_key,id_,class_orig
0,605767341,0.0
1,605767291,0.0
2,605569488,0.0
3,605379197,0.0
4,605310206,0.0
5,605303688,0.0
6,605102469,0.0
7,604856680,0.0
8,604856281,-1.0
9,604669480,0.0
10,604570887,0.0
11,604307950,0.0
12,604231510,-2.0
13,604189516,0.0
14,604094581,0.0
15,604082753,0.0
16,604036487,
17,604024690,-2.0
18,604024649,0.0
19,604024551,0.0
20,603991576,0.0
21,603988952,0.0
22,603987779,0.0
23,603971424,0.0
24,603947365,0.0
25,603918240,-1.0
26,603869189,0.0
27,603816833,1.0
28,603796281,0.0
29,603792879,0.0
30,603771421,0.0
31,603744439,-1.0
32,603743821,-1.0
33,603739444,0.0
34,603681963,0.0
35,603510630,0.0
36,603437650,0.0
37,603437641,0.0
38,603437635,0.0
39,603395563,0.0
40,603355342,0.0
41,603295370,0.0
42,603264908,0.0
43,603209858,0.0
44,603155560,0.0
45,603096740,0.0
46,603087197,-1.0
47,603021626,0.0
48,603021311,0.0
49,602777314,0.0
50,602752140,0.0
51,602634447,0.0
52,602545363,0.0
53,602519934,0.0
54,602509163,0.0
55,602502295,0.0
56,602489466,0.0
57,602487721,0.0
58,602486872,0.0
59,602486669,0.0
60,602459483,0.0
61,602459418,0.0
62,602434794,0.0
63,602430270,0.0
64,602430120,0.0
65,602291123,0.0
66,602287402,0.0
67,602147518,0.0
68,602104589,0.0
69,602100508,0.0
70,602088827,0.0
71,602039789,0.0
72,602034881,0.0
73,602034521,-1.0
74,602014974,0.0
75,602005640,0.0
76,601945152,0.0
77,601944764,0.0
78,601908353,0.0
79,601908173,0.0
80,601901546,0.0
81,601849138,0.0
82,601825596,0.0
83,601825501,0.0
84,601726822,0.0
85,601714518,0.0
86,601625350,0.0
87,601548380,0.0
88,601543179,0.0
89,601517200,0.0
90,601506701,0.0
91,601488324,0.0
92,601406938,0.0
93,601406452,0.0
94,601280521,0.0
95,601194964,0.0
96,601141564,0.0
97,601141519,0.0
98,601094782,-1.0
99,600760401,0.0
100,600736171,0.0
101,600355497,0.0
